Description,DigiKey Code,Qty,1,25,50,100,500,1000
"b'CONN HEADER .100"" SNGL R/A 6POS'",S1111EC-06-ND,1,0.29,0.2109,0.2109,0.2109,0.1667,0.1431
b'CAP ALUM 220UF 20% 10V RADIAL',P12920-ND,3,0.32,0.1836,0.1568,0.1344,0.1008,0.08512
b'2X3POS DIL VERTICAL PIN HEADER',952-1921-ND,1,0.33,0.264,0.2244,0.2156,0.1848,0.154
b'CONN JACK POWER 2.0MM PCB',CP-102A-ND,4,1,0.47,0.47,0.47,0.38,0.34
b'AC/DC WALL MOUNT ADAPTER 5V 5W',1470-2771-ND,1,6.5,5.85,5.46,5.46,5.07,5.07
b'IC MCU 8BIT 128KB FLASH 40PDIP',ATMEGA1284P-PU-ND,1,8.51,6.2987,6.2987,6.2987,5.27728,4.72875
b'CAP CER 0.1UF 100V X7R RADIAL',478-4855-ND,3,0.29,0.1215,0.1215,0.1215,0.09112,0.07695
b'RES 4.7K OHM 1/8W 5% CF AXIAL',CF18JT4K70CT-ND,2,0.1,0.0272,0.0272,0.0201,0.01228,0.00904
b'SWITCH TACTILE SPST-NO 0.05A 24V',SW400-ND,1,0.35,0.3268,0.3146,0.3025,0.242,0.2057
b'CONN TERM BLOCK 4POS 3.5MM',277-6404-ND,1,0.5,0.462,0.462,0.4494,0.3864,0.357
b'RES 240 OHM 1/8W 5% CF AXIAL',CF18JT240RCT-ND,3,0.1,0.0272,0.0272,0.0201,0.01228,0.00904
b'RES 10 OHM 1/8W 5% CF AXIAL',CF18JT10R0CT-ND,3,0.1,0.0272,0.0272,0.0201,0.01228,0.00904
b'CAP CER 22PF 100V NP0 RADIAL',478-4846-ND,2,0.34,0.1326,0.1326,0.1326,0.0936,0.0819
b'CONN TERM BLK 8POS 3.5MM GRN',277-7676-ND,2,0.94,0.8774,0.8774,0.82,0.697,0.697
b'IC REG LDO 3.3V 1A TO220AB',497-1485-5-ND,1,0.82,0.5515,0.5515,0.5515,0.436,0.3488
b'RES 100 OHM 1/8W 1% AXIAL',RNF18FTD100RCT-ND,7,0.1,0.0386,0.0386,0.0275,0.01706,0.0121
b'RES 10K OHM 1/8W 5% CF AXIAL',CF18JT10K0CT-ND,11,0.1,0.0272,0.0272,0.0201,0.01228,0.00904
b'IC EEPROM 512KBIT 400KHZ 8DIP',24LC512-I/P-ND,1,1.34,1.29,1.24,1.24,1.24,1.24
b'CONN TERM BLOCK 3POS 3.5MM',277-6355-ND,1,0.38,0.3478,0.3478,0.3383,0.2909,0.2635
b'16MHz 50ppm Crystal 20pF 30 Ohm -20C ~ 70C  Through Hole HC49/US',887-2015-ND,1,0.33,0.2476,0.2476,0.22,0.209,0.176
Wiznet,Wiznet,1,20.79,20.79,19.89,19.34,18.82,18.82
,,,,,,,,
,,,0.29,0.2109,0.2109,0.2109,0.1667,0.1431
,,,0.96,0.5508,0.4704,0.4032,0.3024,0.25536
,,,0.33,0.264,0.2244,0.2156,0.1848,0.154
,,,4,1.88,1.88,1.88,1.52,1.36
,,,6.5,5.85,5.46,5.46,5.07,5.07
,,,8.51,6.2987,6.2987,6.2987,5.27728,4.72875
,,,0.87,0.3645,0.3645,0.3645,0.27336,0.23085
,,,0.2,0.0544,0.0544,0.0402,0.02456,0.01808
,,,0.35,0.3268,0.3146,0.3025,0.242,0.2057
,,,0.5,0.462,0.462,0.4494,0.3864,0.357
,,,0.3,0.0816,0.0816,0.0603,0.03684,0.02712
,,,0.3,0.0816,0.0816,0.0603,0.03684,0.02712
,,,0.68,0.2652,0.2652,0.2652,0.1872,0.1638
,,,1.88,1.7548,1.7548,1.64,1.394,1.394
,,,0.82,0.5515,0.5515,0.5515,0.436,0.3488
,,,0.7,0.2702,0.2702,0.1925,0.11942,0.0847
,,,1.1,0.2992,0.2992,0.2211,0.13508,0.09944
,,,1.34,1.29,1.24,1.24,1.24,1.24
,,,0.38,0.3478,0.3478,0.3383,0.2909,0.2635
,,,0.33,0.2476,0.2476,0.22,0.209,0.176
,,,20.79,20.79,19.89,19.34,18.82,18.82
,,,,,,,,
,,,,,,,,
,,Qty,1,25,50,100,500,1000
,,Parts,51.13,42.2416,40.7694,39.7542,36.35278,35.16732
,,Boards,18,17.18,8.93,5.11,5,4.8
,,Enclosure 1-color,74.09,12.71,9.22,7.36,5.77,5.16
,,Total, $143.22 , $72.13 , $58.92 , $52.22 , $47.12 , $45.13 
,,,,,,,,
,,Full Color,192.63,35.46,12.52,9.48,7.11,6.23
,,Total, $261.76 , $94.88 , $62.22 , $54.34 , $48.46 , $46.20 
